title,prices,star_rating,Best_seller,author,co_author,formats,list_form,more_buying_choices,Num_of_offers,num_ratings
The Effortless Sous Vide Cookbook: 140 Recipes for Crafting Restaurant-Quality Meals Every Day,"['$15.79$15.79', '$15.79$15.79', '$19.99$19.99', '$19.99$19.99']",4.3,False,Carey Copeling,,"['Paperback', 'Kindle']","['The Effortless Sous Vide Cookbook: 140 Recipes for Crafting Restaurant-Quality Meals Every Day', 'by', 'Carey Copeling', '4.3 out of 5 stars', '107', 'Paperback', '$15.79$15.79', '$19.99$19.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$7.41', '(49 used & new offers)', 'Other format:', 'Kindle']",$7.41,49,107
The Outdoor Toddler Activity Book: 100+ Fun Early Learning Activities for Outside Play,"['$12.59$12.59', '$12.59$12.59', '$13.99$13.99', '$13.99$13.99']",5.0,False,Krissy Bonning-Gould,,"['Paperback', 'Kindle']","['The Outdoor Toddler Activity Book: 100+ Fun Early Learning Activities for Outside Play', 'by', 'Krissy Bonning-Gould', '5.0 out of 5 stars', '1', 'Paperback', '$12.59$12.59', '$13.99$13.99', 'Get it as soon as Tue, Apr 2', 'FREE Shipping on orders over $25 shipped by Amazon', 'Pre-order. Available April 2, 2019', 'Other format:', 'Kindle']",,,1
Ayurveda Cooking for Beginners: An Ayurvedic Cookbook to Balance and Heal,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.5,False,Laura Plumb,,"['Kindle', 'Paperback']","['Ayurveda Cooking for Beginners: An Ayurvedic Cookbook to Balance and Heal', 'by', 'Laura Plumb', '4.5 out of 5 stars', '72', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,72
The Complete DASH Diet for Beginners: The Essential Guide to Lose Weight and Live Healthy,"['$12.62$12.62', '$12.62$12.62', '$14.99$14.99', '$14.99$14.99']",4.0,False,,,"['Paperback', 'Kindle']","['The Complete DASH Diet for Beginners: The Essential Guide to Lose Weight and Live Healthy', 'by Jennifer Koslo PhD  RDN  CSSD', '4.0 out of 5 stars', '87', 'Paperback', '$12.62$12.62', '$14.99$14.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$6.87', '(61 used & new offers)', 'Other format:', 'Kindle']",$6.87,61,87
Renal Diet Plan and Cookbook: The Optimal Nutrition Guide to Manage Kidney Disease,"['$12.74$12.74', '$12.74$12.74', '$15.99$15.99', '$15.99$15.99']",4.2,False,Susan Zogheib,,"['Paperback', 'Kindle']","['Renal Diet Plan and Cookbook: The Optimal Nutrition Guide to Manage Kidney Disease', 'by', 'Susan Zogheib', '4.2 out of 5 stars', '80', 'Paperback', '$12.74$12.74', '$15.99$15.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$7.00', '(58 used & new offers)', 'Other format:', 'Kindle']",$7.00,58,80
"easy 5-ingredient ketogenic diet cookbook, 5 simple ingredients slow cooker and lose weight for good the keto diet for beginners 3 books collection set - low-carb, high-fat recipes, f*ck that's quick","['$44.99$44.99', '$44.99$44.99']",,False,,,['Paperback'],"[""easy 5-ingredient ketogenic diet cookbook, 5 simple ingredients slow cooker and lose weight for good the keto diet for beginners 3 books collection set - low-carb, high-fat recipes, f*ck that's quick"", 'by Jen Fisch and CookNation', 'Paperback', '$44.99$44.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping by Amazon', 'Only 1 left in stock - order soon.']",,,
"Soccer Smarts for Kids: 60 Skills, Strategies, and Secrets","['$7.59$7.59', '$7.59$7.59', '$11.99$11.99', '$11.99$11.99']",4.4,False,Andrew Latham,,"['Paperback', 'Kindle']","['Soccer Smarts for Kids: 60 Skills, Strategies, and Secrets', 'by', 'Andrew Latham', '4.4 out of 5 stars', '76', 'Paperback', '$7.59$7.59', '$11.99$11.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$1.99', '(65 used & new offers)', 'Other format:', 'Kindle']",$1.99,65,76
The SIBO Diet Plan: Four Weeks to Relieve Symptoms and Manage SIBO,"['$0.00$0.00', '$0.00$0.00', 'Or $8.99 to buy']",4.2,False,Kristy Regan MScN,,"['Kindle', 'Paperback']","['The SIBO Diet Plan: Four Weeks to Relieve Symptoms and Manage SIBO', 'by', 'Kristy Regan MScN', 'and Allison Siebecker ND MSOM LAc', '4.2 out of 5 stars', '30', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $8.99 to buy', 'Other format:', 'Paperback']",,,30
The Easy 5-Ingredient Healthy Cookbook: Simple Recipes to Make Healthy Eating Delicious,"['$11.74$11.74', '$11.74$11.74', '$15.99$15.99', '$15.99$15.99']",4.3,False,Toby Amidor,,"['Paperback', 'Kindle']","['The Easy 5-Ingredient Healthy Cookbook: Simple Recipes to Make Healthy Eating Delicious', 'by', 'Toby Amidor', '4.3 out of 5 stars', '58', 'Paperback', '$11.74$11.74', '$15.99$15.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$8.30', '(43 used & new offers)', 'Other format:', 'Kindle']",$8.30,43,58
"Astronomy for Kids: How to Explore Outer Space with Binoculars, a Telescope, or Just Your Eyes!","['$12.67$12.67', '$12.67$12.67', '$14.99$14.99', '$14.99$14.99']",4.8,False,Dr. Bruce Betts,,"['Paperback', 'Kindle']","['Astronomy for Kids: How to Explore Outer Space with Binoculars, a Telescope, or Just Your Eyes!', 'by', 'Dr. Bruce Betts', 'and Dr. Erica L Colón', '4.8 out of 5 stars', '26', 'Paperback', '$12.67$12.67', '$14.99$14.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$10.00', '(78 used & new offers)', 'Other format:', 'Kindle']",$10.00,78,26
"The Big 15 Ketogenic Diet Cookbook: 15 Fundamental Ingredients, 150 Keto Diet Recipes, 300 Low-Carb and High-Fat Variations","['$15.94$15.94', '$15.94$15.94', '$19.99$19.99', '$19.99$19.99']",4.5,False,Megan Flynn Peterson,,"['Paperback', 'Kindle']","['The Big 15 Ketogenic Diet Cookbook: 15 Fundamental Ingredients, 150 Keto Diet Recipes, 300 Low-Carb and High-Fat Variations', 'by', 'Megan Flynn Peterson', '4.5 out of 5 stars', '81', 'Paperback', '$15.94$15.94', '$19.99$19.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$7.22', '(56 used & new offers)', 'Other format:', 'Kindle']",$7.22,56,81
"The Simply Vegan Cookbook: Easy, Healthy, Fun, and Filling Plant-Based Recipes Anyone Can Cook","['$9.86$9.86', '$9.86$9.86', '$12.99$12.99', '$12.99$12.99']",4.5,False,Dustin Harder,,"['Paperback', 'Kindle']","['The Simply Vegan Cookbook: Easy, Healthy, Fun, and Filling Plant-Based Recipes Anyone Can Cook', 'by', 'Dustin Harder', '4.5 out of 5 stars', '122', 'Paperback', '$9.86$9.86', '$12.99$12.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$5.47', '(45 used & new offers)', 'Other format:', 'Kindle']",$5.47,45,122
ESL Games for the Classroom: 101 Interactive Activities to Engage Your Students with Minimal Prep,"['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.7,False,Michael DiGiacomo,,"['Kindle', 'Paperback']","['ESL Games for the Classroom: 101 Interactive Activities to Engage Your Students with Minimal Prep', 'by', 'Michael DiGiacomo', '4.7 out of 5 stars', '11', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,11
The Ultimate Bodybuilding Cookbook: High-Impact Recipes to Make You Stronger Than Ever,"['$13.59$13.59', '$13.59$13.59', '$16.99$16.99', '$16.99$16.99']",4.4,False,Kendall Lou Schmidt,,"['Paperback', 'Kindle']","['The Ultimate Bodybuilding Cookbook: High-Impact Recipes to Make You Stronger Than Ever', 'by', 'Kendall Lou Schmidt', '4.4 out of 5 stars', '120', 'Paperback', '$13.59$13.59', '$16.99$16.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$7.48', '(57 used & new offers)', 'Other format:', 'Kindle']",$7.48,57,120
The Camp Dutch Oven Cookbook: Easy 5-Ingredient Recipes to Eat Well in the Great Outdoors,"['$12.74$12.74', '$12.74$12.74', '$14.99$14.99', '$14.99$14.99']",4.5,False,Robin Donovan,,"['Paperback', 'Kindle']","['The Camp Dutch Oven Cookbook: Easy 5-Ingredient Recipes to Eat Well in the Great Outdoors', 'by', 'Robin Donovan', '4.5 out of 5 stars', '67', 'Paperback', '$12.74$12.74', '$14.99$14.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$8.62', '(38 used & new offers)', 'Other format:', 'Kindle']",$8.62,38,67
"Anti-Inflammatory Diet in 21: 100 Recipes, 5 Ingredients, and 3 Weeks to Fight Inflammation","['$16.37$16.37', '$16.37$16.37']",4.2,False,Sondi Bruner,,"['Paperback', 'Kindle']","['Anti-Inflammatory Diet in 21: 100 Recipes, 5 Ingredients, and 3 Weeks to Fight Inflammation', 'by', 'Sondi Bruner', '4.2 out of 5 stars', '137', 'Paperback', '$16.37$16.37', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$5.98', '(69 used & new offers)', 'Other format:', 'Kindle']",$5.98,69,137
Bodyweight Strength Training: 12 Weeks to Build Muscle and Burn Fat,"['$0.00$0.00', '$0.00$0.00', 'Or $7.99 to buy']",4.7,False,Jay Cardiello,,"['Kindle', 'Paperback']","['Bodyweight Strength Training: 12 Weeks to Build Muscle and Burn Fat', 'by', 'Jay Cardiello', '4.7 out of 5 stars', '48', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $7.99 to buy', 'Other format:', 'Paperback']",,,48
"The Big Book of Gluten Free Cooking: Delicious Meals, Breads, and Sweets for a Happy, Healthy Gluten-Free Life","['$14.25$14.25', '$14.25$14.25', '$19.99$19.99', '$19.99$19.99']",4.3,False,Gigi Stewart B.S.  M.A.,,"['Paperback', 'Kindle']","['The Big Book of Gluten Free Cooking: Delicious Meals, Breads, and Sweets for a Happy, Healthy Gluten-Free Life', 'by', 'Gigi Stewart B.S.  M.A.', '4.3 out of 5 stars', '31', 'Paperback', '$14.25$14.25', '$19.99$19.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$8.00', '(31 used & new offers)', 'Other format:', 'Kindle']",$8.00,31,31
A Kids' Guide to Manners: 50 Fun Etiquette Lessons for Kids (and Their Families),"['$9.35$9.35', '$9.35$9.35']",4.6,False,Katherine Flannery,,"['Paperback', 'Kindle']","[""A Kids' Guide to Manners: 50 Fun Etiquette Lessons for Kids (and Their Families)"", 'by', 'Katherine Flannery', '4.6 out of 5 stars', '19', 'Paperback', '$9.35$9.35', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$5.35', '(33 used & new offers)', 'Other format:', 'Kindle']",$5.35,33,19
"The Healthy Wok Chinese Cookbook: Fresh Recipes to Sizzle, Steam, and Stir-Fry Restaurant Favorites at Home","['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.6,False,Charmaine Ferrara,,"['Kindle', 'Paperback']","['The Healthy Wok Chinese Cookbook: Fresh Recipes to Sizzle, Steam, and Stir-Fry Restaurant Favorites at Home', 'by', 'Charmaine Ferrara', '4.6 out of 5 stars', '55', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,55
Yoga for Kids and Their Grown-Ups: 100+ Fun Yoga and Mindfulness Activities to Practice Together,"['$13.44$13.44', '$13.44$13.44', '$15.99$15.99', '$15.99$15.99']",4.7,False,Katherine Ghannam,,"['Paperback', 'Kindle']","['Yoga for Kids and Their Grown-Ups: 100+ Fun Yoga and Mindfulness Activities to Practice Together', 'by', 'Katherine Ghannam', '4.7 out of 5 stars', '44', 'Paperback', '$13.44$13.44', '$15.99$15.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$7.00', '(39 used & new offers)', 'Other format:', 'Kindle']",$7.00,39,44
Voilà!: The Effortless French Cookbook: Easy Recipes to Savor the Classic Tastes of France,"['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.7,False,Cécile Delarue,,"['Kindle', 'Paperback']","['Voilà!: The Effortless French Cookbook: Easy Recipes to Savor the Classic Tastes of France', 'by', 'Cécile Delarue', '4.7 out of 5 stars', '57', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,57
Modern Vegan Baking: The Ultimate Resource for Sweet and Savory Baked Goods,"['$13.00$13.00', '$13.00$13.00', '$17.99$17.99', '$17.99$17.99']",4.3,False,Gretchen Price,,"['Paperback', 'Kindle']","['Modern Vegan Baking: The Ultimate Resource for Sweet and Savory Baked Goods', 'by', 'Gretchen Price', '4.3 out of 5 stars', '103', 'Paperback', '$13.00$13.00', '$17.99$17.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$8.00', '(49 used & new offers)', 'Other format:', 'Kindle']",$8.00,49,103
"The Lupus Diet Plan: Meal Plans & Recipes to Soothe Inflammation, Treat Flares, and Send Lupus into Remission","['$14.02$14.02', '$14.02$14.02', '$16.99$16.99', '$16.99$16.99']",4.1,False,Laura Rellihan RD,,"['Paperback', 'Kindle']","['The Lupus Diet Plan: Meal Plans & Recipes to Soothe Inflammation, Treat Flares, and Send Lupus into Remission', 'by', 'Laura Rellihan RD', 'and Kelli Roseta', '4.1 out of 5 stars', '48', 'Paperback', '$14.02$14.02', '$16.99$16.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$8.71', '(46 used & new offers)', 'Other format:', 'Kindle']",$8.71,46,48
"[(Insomnia : A Guide to Insomnia and Relief for a Better Night's Sleep)] [By (author) John Chatham] published on (November, 2012)",[],4.1,False,John Chatham,,['Paperback'],"[""[(Insomnia : A Guide to Insomnia and Relief for a Better Night's Sleep)] [By (author) John Chatham] published on (November, 2012)"", 'by', 'John Chatham', '4.1 out of 5 stars', '316', 'Paperback', 'More Buying Choices$25.93', '(1 new offer)']",$25.93,1,316
The Migraine Relief Diet: Meal Plan and Cookbook for Migraine Headache Reduction,"['$0.00$0.00', '$0.00$0.00', 'Or $7.99 to buy']",4.3,False,Tara Spencer,,"['Kindle', 'Hardcover', 'Paperback']","['The Migraine Relief Diet: Meal Plan and Cookbook for Migraine Headache Reduction', 'by', 'Tara Spencer', ', Frederick Godley III MD FACS, et al.', '4.3 out of 5 stars', '61', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $7.99 to buy', 'Other formats:', 'Hardcover', ',', 'Paperback']",,,61
Sponsored,"['$9.97$9.97', '$9.97$9.97']",,False,Fanton Publishers,,['Paperback'],"['Sponsored', ""These are ads for products you'll find on Amazon.com."", ""Clicking an ad will take you to the product's page."", 'Learn more about Sponsored Products.', 'Fat Bombs: Keto Fat Bombs: 50+ Savory and Sweet Ketogenic Diet Fat Bombs That You MUST Prepare Before Any Other!', 'by', 'Fanton Publishers', 'Paperback', '$9.97$9.97', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon']",,,
Sponsored,"['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",,False,,,[],"['Sponsored', ""These are ads for products you'll find on Amazon.com."", ""Clicking an ad will take you to the product's page."", 'Learn more about Sponsored Products.', 'Easy Italian: Easy Italian recipes for beginners', 'by Claudia Rinaldi', 'Kindle Edition', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy']",,,
Sponsored,"['$10.96$10.96', '$10.96$10.96']",5.0,False,,,['Paperback'],"['Sponsored', ""These are ads for products you'll find on Amazon.com."", ""Clicking an ad will take you to the product's page."", 'Learn more about Sponsored Products.', 'Liver Detox: How to Cleanse Your Liver Naturally', 'by Terry Scott', '5.0 out of 5 stars', '24', 'Paperback', '$10.96$10.96', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon']",,,24
Sponsored,"['$0.00$0.00', '$0.00$0.00']",4.3,False,Glenn  Livingston Ph.D,,[],"['Sponsored', ""These are ads for products you'll find on Amazon.com."", ""Clicking an ad will take you to the product's page."", 'Learn more about Sponsored Products.', 'Never Binge Again(tm): Reprogram Yourself to Think Like a Permanently Thin Person(tm). Stop Overeating and Binge Eating and Stick to the Food Plan of Your Choice!', 'by', 'Glenn  Livingston Ph.D', '4.3 out of 5 stars', '1,992', 'Kindle Edition', '$0.00$0.00']",,,"1,992"
The Easy 5-Ingredient Slow Cooker Cookbook: 100 Delicious No-Fuss Meals for Busy People,"['$14.16$14.16', '$14.16$14.16', '$17.99$17.99', '$17.99$17.99']",4.3,False,Karen Bellessa Petersen,,"['Paperback', 'Kindle']","['The Easy 5-Ingredient Slow Cooker Cookbook: 100 Delicious No-Fuss Meals for Busy People', 'by', 'Karen Bellessa Petersen', '4.3 out of 5 stars', '85', 'Paperback', '$14.16$14.16', '$17.99$17.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$6.02', '(51 used & new offers)', 'Other format:', 'Kindle']",$6.02,51,85
The Truly Healthy Pescatarian Cookbook: 75 Fresh & Delicious Recipes to Maintain a Healthy Weight,"['$14.25$14.25', '$14.25$14.25', '$19.99$19.99', '$19.99$19.99']",4.8,False,Nicole Hallissey MS  RDN  CDN,,"['Paperback', 'Kindle']","['The Truly Healthy Pescatarian Cookbook: 75 Fresh & Delicious Recipes to Maintain a Healthy Weight', 'by', 'Nicole Hallissey MS  RDN  CDN', '4.8 out of 5 stars', '12', 'Paperback', '$14.25$14.25', '$19.99$19.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$10.25', '(18 used & new offers)', 'Other format:', 'Kindle']",$10.25,18,12
"the complete ketogenic diet for beginners and lose weight for good the keto diet for beginners 2 books collection set - your essential guide to living the keto lifestyle, complete ketogenic guide","['$37.99$37.99', '$37.99$37.99']",,False,,,['Paperback'],"['the complete ketogenic diet for beginners and lose weight for good the keto diet for beginners 2 books collection set - your essential guide to living the keto lifestyle, complete ketogenic guide', 'by Amy Ramos and CookNation', 'Paperback', '$37.99$37.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping by Amazon', 'Only 2 left in stock - order soon.', 'More Buying Choices$33.99', '(2 new offers)']",$33.99,2,
The Lupus Cookbook: 125+ Anti-Inflammatory Recipes to Live Well With Lupus,"['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.6,False,Ana Reisdorf MS RD,,"['Kindle', 'Paperback']","['The Lupus Cookbook: 125+ Anti-Inflammatory Recipes to Live Well With Lupus', 'by', 'Ana Reisdorf MS RD', 'and Jeanette Alston-Watkins', '4.6 out of 5 stars', '12', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,12
The Clean Eating Slow Cooker: A Healthy Cookbook of Wholesome Meals that Prep Fast & Cook Slow,"['$14.98$14.98', '$14.98$14.98', '$18.99$18.99', '$18.99$18.99']",3.7,False,Linda Larsen,,"['Paperback', 'Kindle']","['The Clean Eating Slow Cooker: A Healthy Cookbook of Wholesome Meals that Prep Fast & Cook Slow', 'by', 'Linda Larsen', '3.7 out of 5 stars', '65', 'Paperback', '$14.98$14.98', '$18.99$18.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$8.44', '(65 used & new offers)', 'Other format:', 'Kindle']",$8.44,65,65
The 5-Day Juicing Diet: A Plant-Based Program to Achieve Lasting Weight Loss & Long Term Health,"['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.8,False,,,"['Kindle', 'Paperback']","['The 5-Day Juicing Diet: A Plant-Based Program to Achieve Lasting Weight Loss & Long Term Health', 'by Megan Roosevelt RD', '4.8 out of 5 stars', '28', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,28
"Complete air fryer cookbook, actifry, hot air fryer cookbook and hot air frying 4 books collection set",[],,False,,,['Paperback'],"['Complete air fryer cookbook, actifry, hot air fryer cookbook and hot air frying 4 books collection set', 'by Linda Larsen, CookNation, et al.', 'Paperback', 'More Buying Choices$49.99', '(2 new offers)']",$49.99,2,
"The Essential Kamado Grill Cookbook: Core Techniques and Recipes to Master Grilling, Smoking, Roasting, and More","['$19.99$19.99', '$19.99$19.99']",5.0,False,Will Budiaman,,"['Paperback', 'Kindle']","['The Essential Kamado Grill Cookbook: Core Techniques and Recipes to Master Grilling, Smoking, Roasting, and More', 'by', 'Will Budiaman', '5.0 out of 5 stars', '1', 'Paperback', '$19.99$19.99', 'Get it as soon as Tue, Mar 26', 'FREE Shipping on orders over $25 shipped by Amazon', 'Pre-order. Available March 26, 2019', 'Other format:', 'Kindle']",,,1
"The Modern Cast Iron Cookbook: A New Generation of Easy, Fresh, and Healthy Recipes","['$17.99$17.99', '$17.99$17.99']",,False,,,['Paperback'],"['The Modern Cast Iron Cookbook: A New Generation of Easy, Fresh, and Healthy Recipes', 'by Tiffany La Forge', 'Paperback', '$17.99$17.99', 'FREE Shipping on orders over $25 shipped by Amazon', 'Pre-order. Available May 14, 2019']",,,
The Rainy Day Toddler Activity Book: 100+ Fun Early Learning Activities for Inside Play,"['$13.99$13.99', '$13.99$13.99']",,False,,,['Paperback'],"['The Rainy Day Toddler Activity Book: 100+ Fun Early Learning Activities for Inside Play', 'by Krissy Bonning-Gould', 'Paperback', '$13.99$13.99', 'FREE Shipping on orders over $25 shipped by Amazon', 'Pre-order. Available May 14, 2019']",,,
"Soccer Smarts: 75 Skills, Tactics & Mental Exercises to Improve Your Game","['$13.00$13.00', '$13.00$13.00', '$17.99$17.99', '$17.99$17.99']",4.7,False,Charlie Slagle,,"['Paperback', 'Kindle']","['Soccer Smarts: 75 Skills, Tactics & Mental Exercises to Improve Your Game', 'by', 'Charlie Slagle', '4.7 out of 5 stars', '12', 'Paperback', '$13.00$13.00', '$17.99$17.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$11.71', '(25 used & new offers)', 'Other format:', 'Kindle']",$11.71,25,12
Latch: A Handbook for Breastfeeding with Confidence at Every Stage,"['$12.62$12.62', '$12.62$12.62', '$14.99$14.99', '$14.99$14.99']",4.7,False,Robin Kaplan M.Ed.  IBCLC,,"['Paperback', 'Kindle']","['Latch: A Handbook for Breastfeeding with Confidence at Every Stage', 'by', 'Robin Kaplan M.Ed.  IBCLC', 'and Abby Theuring', '4.7 out of 5 stars', '44', 'Paperback', '$12.62$12.62', '$14.99$14.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$6.49', '(42 used & new offers)', 'Other formats:', 'Kindle', ',', 'Audible Audiobook']",$6.49,42,44
"The Gastroparesis Cookbook: 102 Delicious, Nutritious Recipes for Gastroparesis Relief","['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.3,False,Karen Frazier,,"['Kindle', 'Paperback']","['The Gastroparesis Cookbook: 102 Delicious, Nutritious Recipes for Gastroparesis Relief', 'by', 'Karen Frazier', 'and Colleen Beener G-PACT Operations Director', '4.3 out of 5 stars', '97', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,97
The Baking Cookbook for Teens: 75 Delicious Recipes for Sweet and Savory Treats,"['$16.14$16.14', '$16.14$16.14', '$18.99$18.99', '$18.99$18.99']",4.4,False,Robin Donovan,,"['Paperback', 'Kindle']","['The Baking Cookbook for Teens: 75 Delicious Recipes for Sweet and Savory Treats', 'by', 'Robin Donovan', '4.4 out of 5 stars', '16', 'Paperback', '$16.14$16.14', '$18.99$18.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$12.99', '(37 used & new offers)', 'Other format:', 'Kindle']",$12.99,37,16
The Quick & Easy IBS Relief Cookbook: Over 120 Low-FODMAP Recipes to Soothe Irritable Bowel Syndrome Symptoms,"['$0.00$0.00', '$0.00$0.00', 'Or $8.99 to buy']",4.3,False,Karen Frazier,,"['Kindle', 'Paperback']","['The Quick & Easy IBS Relief Cookbook: Over 120 Low-FODMAP Recipes to Soothe Irritable Bowel Syndrome Symptoms', 'by', 'Karen Frazier', '4.3 out of 5 stars', '30', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $8.99 to buy', 'Other format:', 'Paperback']",,,30
The Rheumatoid Arthritis Cookbook: Anti-Inflammatory Recipes to Fight Flares and Fatigue,"['$15.29$15.29', '$15.29$15.29', '$17.99$17.99', '$17.99$17.99']",4.5,False,Caitlin Samson MSACN,,"['Paperback', 'Kindle']","['The Rheumatoid Arthritis Cookbook: Anti-Inflammatory Recipes to Fight Flares and Fatigue', 'by', 'Caitlin Samson MSACN', '4.5 out of 5 stars', '45', 'Paperback', '$15.29$15.29', '$17.99$17.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$11.29', '(41 used & new offers)', 'Other format:', 'Kindle']",$11.29,41,45
No-Fail Gluten-Free Bread Baking: Classic Bread Recipes for the Texture and Flavor You Love,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.6,False,Pamela Ellgen,,"['Kindle', 'Paperback']","['No-Fail Gluten-Free Bread Baking: Classic Bread Recipes for the Texture and Flavor You Love', 'by', 'Pamela Ellgen', '4.6 out of 5 stars', '31', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,31
The Easy Heart Healthy Cookbook for Slow Cookers: 130 Prep-and-Go Low-Sodium Recipes,"['$14.44$14.44', '$14.44$14.44', '$16.99$16.99', '$16.99$16.99']",4.3,False,Nicole R. Morrissey MS  RD  BC-ADM,,"['Paperback', 'Kindle']","['The Easy Heart Healthy Cookbook for Slow Cookers: 130 Prep-and-Go Low-Sodium Recipes', 'by', 'Nicole R. Morrissey MS  RD  BC-ADM', '4.3 out of 5 stars', '27', 'Paperback', '$14.44$14.44', '$16.99$16.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$7.00', '(41 used & new offers)', 'Other format:', 'Kindle']",$7.00,41,27
Essential Oils Natural Remedies: The Complete A-Z Reference of Essential Oils for Health and Healing,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.7,in Aromatherapy,Althea Press,,"['Kindle', 'Paperback']","['Best Seller', 'in Aromatherapy', 'Essential Oils Natural Remedies: The Complete A-Z Reference of Essential Oils for Health and Healing', 'by', 'Althea Press', '4.7 out of 5 stars', '1,299', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,"1,299"
