title,prices,star_rating,Best_seller,author,co_author,formats,list_form,more_buying_choices,Num_of_offers,num_ratings
Vegan Meal Prep: Ready-to-Go Meals and Snacks for Healthy Plant-Based Eating,"['$0.00$0.00', '$0.00$0.00', 'Or $8.99 to buy']",4.3,in Russian Cooking,JL Fields,,"['Kindle', 'Paperback']","['Best Seller', 'in Russian Cooking', 'Vegan Meal Prep: Ready-to-Go Meals and Snacks for Healthy Plant-Based Eating', 'by', 'JL Fields', '4.3 out of 5 stars', '38', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $8.99 to buy', 'Other format:', 'Paperback']",,,38
Super Easy Baby Food Cookbook: Healthy Homemade Recipes for Every Age and Stage,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.7,False,Anjali Shah,,"['Kindle', 'Paperback']","['Super Easy Baby Food Cookbook: Healthy Homemade Recipes for Every Age and Stage', 'by', 'Anjali Shah', '4.7 out of 5 stars', '56', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,56
Clean Eating Made Simple: A Healthy Cookbook with Delicious Whole-Food Recipes for Eating Clean,"['$16.13$16.13', '$16.13$16.13', '$18.99$18.99', '$18.99$18.99']",4.2,False,Rockridge Press,,"['Paperback', 'Kindle', 'Hardcover']","['Clean Eating Made Simple: A Healthy Cookbook with Delicious Whole-Food Recipes for Eating Clean', 'by', 'Rockridge Press', '4.2 out of 5 stars', '150', 'Paperback', '$16.13$16.13', '$18.99$18.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$3.69', '(63 used & new offers)', 'Other formats:', 'Kindle', ',', 'Hardcover']",$3.69,63,150
Quick and Easy Mediterranean Diet Cookbook: 76 Mediterranean Diet Recipes Made in Minutes,"['$10.79$10.79', '$10.79$10.79', '$11.99$11.99', '$11.99$11.99', 'Save $0.60']",4.2,False,Rockridge Press,,"['Paperback', 'Kindle']","['Quick and Easy Mediterranean Diet Cookbook: 76 Mediterranean Diet Recipes Made in Minutes', 'by', 'Rockridge Press', '4.2 out of 5 stars', '94', 'Paperback', '$10.79$10.79', '$11.99$11.99', 'Save $0.60', 'with coupon', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$4.09', '(56 used & new offers)', 'Other format:', 'Kindle']",$4.09,56,94
"Toddler Discipline for Every Age and Stage: Effective Strategies to Tame Tantrums, Overcome Challenges, and Help Your Child Grow","['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.9,False,Aubrey Hargis,,"['Kindle', 'Paperback']","['Toddler Discipline for Every Age and Stage: Effective Strategies to Tame Tantrums, Overcome Challenges, and Help Your Child Grow', 'by', 'Aubrey Hargis', 'and Breana Sylvester PhD', '4.9 out of 5 stars', '37', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,37
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,"['$12.74$12.74', '$12.74$12.74', '$14.99$14.99', '$14.99$14.99']",4.0,in Poultry Cooking,Laurel Randolph,,"['Paperback', 'Kindle', 'Spiral-bound']","['Best Seller', 'in Poultry Cooking', 'The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals', 'by', 'Laurel Randolph', '4.0 out of 5 stars', '2,765', 'Paperback', '$12.74$12.74', '$14.99$14.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$3.21', '(127 used & new offers)', 'Other formats:', 'Kindle', ',', 'Spiral-bound']",$3.21,127,"2,765"
"Modern Dutch Oven Cookbook: Fresh Ideas for Braises, Stews, Pot Roasts, and Other One-Pot Meals","['$16.99$16.99', '$16.99$16.99']",4.3,False,Rockridge Press,,"['Paperback', 'Kindle']","['Modern Dutch Oven Cookbook: Fresh Ideas for Braises, Stews, Pot Roasts, and Other One-Pot Meals', 'by', 'Rockridge Press', '4.3 out of 5 stars', '120', 'Paperback', '$16.99$16.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$9.00', '(54 used & new offers)', 'Other format:', 'Kindle']",$9.00,54,120
Vegetarian Cookbook for Beginners: The Essential Vegetarian Cookbook to Get Started,"['$11.99$11.99', '$11.99$11.99']",4.3,False,Rockridge Press,,"['Paperback', 'Kindle']","['Vegetarian Cookbook for Beginners: The Essential Vegetarian Cookbook to Get Started', 'by', 'Rockridge Press', '4.3 out of 5 stars', '191', 'Paperback', '$11.99$11.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$6.99', '(57 used & new offers)', 'Other format:', 'Kindle']",$6.99,57,191
The 28 Day DASH Diet Weight Loss Program: Recipes and Workouts to Lower Blood Pressure and Improve Your Health,"['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.3,in Low Cholesterol Cooking,Andy De Santis RD MPH,,"['Kindle', 'Paperback']","['Best Seller', 'in Low Cholesterol Cooking', 'The 28 Day DASH Diet Weight Loss Program: Recipes and Workouts to Lower Blood Pressure and Improve Your Health', 'by', 'Andy De Santis RD MPH', ',', 'Julie Andrews MS RDN CD', ', et al.', '4.3 out of 5 stars', '28', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,28
"The College Vegan Cookbook: 145 Affordable, Healthy & Delicious Plant-Based Recipes","['$15.29$15.29', '$15.29$15.29', '$16.99$16.99', '$16.99$16.99']",,False,Heather Nicholds,,"['Paperback', 'Kindle']","['The College Vegan Cookbook: 145 Affordable, Healthy & Delicious Plant-Based Recipes', 'by', 'Heather Nicholds', 'Paperback', '$15.29$15.29', '$16.99$16.99', 'Get it as soon as Tue, Apr 9', 'FREE Shipping on orders over $25 shipped by Amazon', 'Pre-order. Available April 9, 2019', 'Other format:', 'Kindle']",,,
DIY Fermentation: Over 100 Step-By-Step Home Fermentation Recipes,"['$15.99$15.99', '$15.99$15.99']",4.4,False,Rockridge Press,,"['Paperback', 'Kindle']","['DIY Fermentation: Over 100 Step-By-Step Home Fermentation Recipes', 'by', 'Rockridge Press', '4.4 out of 5 stars', '98', 'Paperback', '$15.99$15.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$10.73', '(44 used & new offers)', 'Other format:', 'Kindle']",$10.73,44,98
Paleo for Every Day: 4 Weeks of Paleo Diet Recipes & Meal Plans to Lose Weight & Improve Health,"['$11.13$11.13', '$11.13$11.13', '$13.99$13.99', '$13.99$13.99']",4.3,False,Rockridge Press,,"['Paperback', 'Kindle']","['Paleo for Every Day: 4 Weeks of Paleo Diet Recipes & Meal Plans to Lose Weight & Improve Health', 'by', 'Rockridge Press', '4.3 out of 5 stars', '234', 'Paperback', '$11.13$11.13', '$13.99$13.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$5.00', '(57 used & new offers)', 'Other formats:', 'Kindle', ',', 'Audible Audiobook']",$5.00,57,234
The Gluten-Free Cookbook for Slow Cookers: A Delicious Variety of Easy Gluten-Free Recipes for Every Meal,"['$14.99$14.99', '$14.99$14.99']",4.3,False,Rockridge Press,,"['Paperback', 'Kindle']","['The Gluten-Free Cookbook for Slow Cookers: A Delicious Variety of Easy Gluten-Free Recipes for Every Meal', 'by', 'Rockridge Press', '4.3 out of 5 stars', '203', 'Paperback', '$14.99$14.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$9.01', '(43 used & new offers)', 'Other format:', 'Kindle']",$9.01,43,203
"Renal Diet Cookbook: The Low Sodium, Low Potassium, Healthy Kidney Cookbook","['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.1,False,,,"['Kindle', 'Paperback']","['Renal Diet Cookbook: The Low Sodium, Low Potassium, Healthy Kidney Cookbook', 'by Rockridge Press,', 'Susan Zogheib', ', et al.', '4.1 out of 5 stars', '251', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,251
"Essential Spices and Herbs: Discover Them, Understand Them, Enjoy Them","['$0.00$0.00', '$0.00$0.00', 'Or $4.99 to buy']",4.6,False,,,"['Kindle', 'Paperback']","['Essential Spices and Herbs: Discover Them, Understand Them, Enjoy Them', 'by Rockridge Press and', 'Christina Nichol', '4.6 out of 5 stars', '161', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $4.99 to buy', 'Other format:', 'Paperback']",,,161
The Yoga Mind: 52 Essential Principles of Yoga Philosophy to Deepen Your Practice,"['$0.00$0.00', '$0.00$0.00', 'Or $8.99 to buy']",4.8,False,Rina Jakubowicz,,"['Kindle', 'Paperback']","['The Yoga Mind: 52 Essential Principles of Yoga Philosophy to Deepen Your Practice', 'by', 'Rina Jakubowicz', '4.8 out of 5 stars', '62', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $8.99 to buy', 'Other format:', 'Paperback']",,,62
Easy Vegetarian Slow Cooker Cookbook: 125 Fix-And-Forget Vegetarian Recipes,"['$16.99$16.99', '$16.99$16.99']",3.9,False,Rockridge Press,,"['Paperback', 'Kindle']","['Easy Vegetarian Slow Cooker Cookbook: 125 Fix-And-Forget Vegetarian Recipes', 'by', 'Rockridge Press', '3.9 out of 5 stars', '129', 'Paperback', '$16.99$16.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$2.82', '(78 used & new offers)', 'Other format:', 'Kindle']",$2.82,78,129
5:2 Fast Diet for Beginners: The Complete Book for Intermittent Fasting with Easy Recipes and Weight Loss Plans,"['$9.97$9.97', '$9.97$9.97']",4.1,False,Rockridge Press,,['Paperback'],"['5:2 Fast Diet for Beginners: The Complete Book for Intermittent Fasting with Easy Recipes and Weight Loss Plans', 'by', 'Rockridge Press', '4.1 out of 5 stars', '186', 'Paperback', '$9.97$9.97', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$2.38', '(77 used & new offers)', 'Other format:', 'Audible Audiobook']",$2.38,77,186
Clean Eating 28-Day Plan: A Healthy Cookbook and 4-Week Plan for Eating Clean,"['$14.44$14.44', '$14.44$14.44', '$19.99$19.99', '$19.99$19.99']",4.3,False,Rockridge Press,,"['Paperback', 'Kindle']","['Clean Eating 28-Day Plan: A Healthy Cookbook and 4-Week Plan for Eating Clean', 'by', 'Rockridge Press', '4.3 out of 5 stars', '150', 'Paperback', '$14.44$14.44', '$19.99$19.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$3.81', '(62 used & new offers)', 'Other format:', 'Kindle']",$3.81,62,150
"The 30-Minute Mediterranean Diet Cookbook: 101 Easy, Flavorful Recipes for Lifelong Health","['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.5,False,Deanna Segrave-Daly RD,Serena Ball RD,"['Kindle', 'Paperback', 'Spiral-bound']","['The 30-Minute Mediterranean Diet Cookbook: 101 Easy, Flavorful Recipes for Lifelong Health', 'by', 'Deanna Segrave-Daly RD', 'and', 'Serena Ball RD', '4.5 out of 5 stars', '89', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other formats:', 'Paperback', ',', 'Spiral-bound']",,,89
DIY Canning: Over 100 Small-Batch Recipes for All Seasons,"['$12.72$12.72', '$12.72$12.72', '$15.99$15.99', '$15.99$15.99']",4.6,False,Rockridge Press,,"['Paperback', 'Kindle']","['DIY Canning: Over 100 Small-Batch Recipes for All Seasons', 'by', 'Rockridge Press', '4.6 out of 5 stars', '126', 'Paperback', '$12.72$12.72', '$15.99$15.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$6.04', '(63 used & new offers)', 'Other format:', 'Kindle']",$6.04,63,126
DIY Kombucha: 60 Nourishing Homemade Tonics for Health and Happiness by Rockridge Press (2015-03-02),"['$14.66$14.66', '$14.66$14.66', '$3.98 shipping']",4.5,False,,,['Paperback'],"['DIY Kombucha: 60 Nourishing Homemade Tonics for Health and Happiness by Rockridge Press (2015-03-02)', 'by Rockridge Press', '4.5 out of 5 stars', '39', 'Paperback', '$14.66$14.66', '$3.98 shipping', 'More Buying Choices$12.44', '(28 used & new offers)']",$12.44,28,39
Vegan Slow Cooker for Beginners: Essentials to Get Started,"['$11.75$11.75', '$11.75$11.75', '$13.99$13.99', '$13.99$13.99']",4.3,False,Rockridge Press,,"['Paperback', 'Kindle']","['Vegan Slow Cooker for Beginners: Essentials to Get Started', 'by', 'Rockridge Press', '4.3 out of 5 stars', '133', 'Paperback', '$11.75$11.75', '$13.99$13.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$9.63', '(40 used & new offers)', 'Other formats:', 'Kindle', ',', 'Audible Audiobook']",$9.63,40,133
Salads That Inspire: A Cookbook of Creative Salads,"['$18.99$18.99', '$18.99$18.99']",4.5,False,Rockridge Press,,"['Paperback', 'Kindle']","['Salads That Inspire: A Cookbook of Creative Salads', 'by', 'Rockridge Press', '4.5 out of 5 stars', '71', 'Paperback', '$18.99$18.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$9.47', '(42 used & new offers)', 'Other format:', 'Kindle']",$9.47,42,71
"Bread Baking for Beginners: The Essential Guide to Baking Kneaded Breads, No-Knead Breads, and Enriched Breads","['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.9,False,Bonnie Ohara,,"['Kindle', 'Paperback']","['Bread Baking for Beginners: The Essential Guide to Baking Kneaded Breads, No-Knead Breads, and Enriched Breads', 'by', 'Bonnie Ohara', '4.9 out of 5 stars', '305', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,305
30-Day Candida Cleanse: The Complete Diet Program to Beat Candida and Restore Total Health,"['$12.74$12.74', '$12.74$12.74', '$14.99$14.99', '$14.99$14.99']",4.0,False,Rockridge Press,,"['Paperback', 'Kindle']","['30-Day Candida Cleanse: The Complete Diet Program to Beat Candida and Restore Total Health', 'by', 'Rockridge Press', '4.0 out of 5 stars', '90', 'Paperback', '$12.74$12.74', '$14.99$14.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$7.50', '(56 used & new offers)', 'Other format:', 'Kindle']",$7.50,56,90
