,Calories,Carbs,Category,Cholesterol,Fat,Fiber,Protein,Restaurant,Saturated Fat,Sodium,Sugars,Trans Fat,calories,carbs,category,deets_url,fat_content,name
4411,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,310,46,"
Kid's Meals
",http://chubbygrub.com/food/spaghetti-and-pomodoro/,9,Spaghetti & Pomodoro
4412,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1240,92,"
Appetizers
",http://chubbygrub.com/food/spicy-herb-roasted-mussels/,66,Spicy Herb-Roasted Mussels
4413,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,370,17,"
Appetizers
",http://chubbygrub.com/food/spicy-ricotta-meatballs/,29,Spicy Ricotta Meatballs
4414,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,640,21,"
Appetizers
",http://chubbygrub.com/food/stuffed-mushrooms/,66,Stuffed Mushrooms
4415,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,690,54,"
Desserts
",http://chubbygrub.com/food/tiramisu/,48,Tiramisu
4416,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1320,81,"
Entrees
",http://chubbygrub.com/food/veal-saltimbocca/,73,Veal Saltimbocca
4417,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,340,17,"
Salads
",http://chubbygrub.com/food/warm-spinach-salad-includes-dressing-no-protein/,25,"Warm Spinach Salad (Includes Dressing, No Protein)"
4418,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,130,31,"
Drinks
",http://chubbygrub.com/food/white-peach-italian-soda/,0,White Peach Italian Soda
4419,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,530,52,"
Entrees
",http://chubbygrub.com/food/whole-wheat-fettuccine/,23,Whole Wheat Fettuccine
4420,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1060,105,"
Entrees
",http://chubbygrub.com/food/whole-wheat-fettuccine-2/,46,Whole Wheat Fettuccine
4421,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,490,88,"
Entrees
",http://chubbygrub.com/food/whole-wheat-fettuccine-3/,7,Whole Wheat Fettuccine
4422,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,910,83,"
Pizzas
",http://chubbygrub.com/food/wild-mushroom-and-goat-cheese-flatbread/,46,Wild Mushroom & Goat Cheese Flatbread
